id,status,pre_or_post_disaster,notes
994,archived,pre,roads
995,archived,pre,roads
1001,archived,pre,roads
1002,archived,pre,roads
1003,archived,pre,roads
1004,archived,pre,roads
1006,active,pre,"buildings and landuse, west of Gorkha"
1008,archived,post,IDP sites Kath
1009,active,pre,gorkha
1010,archived,post,IDP sites Banepa
1014,archived,pre,Sindhupalchowk
1015,archived,pre,Dhunche Rasuwa
1016,archived,pre,Langtang
1018,active,pre,"large mapping project, 2nd pass"
1023,active,pre,helo landing zones; had to convert to singlepart in order to import into Umap
1024,active,post,Gorkha
1025,active,post,Bidur
1026,active,pre,helo landing zones
1030,active,post,east of Kath
1033,archived,post,Langtang
